address,city,state,zipcode,size,price
608 Dorchester Ave # S, Boston, MA,2127," 2 beds / 2 baths / 1,080 sqft ","479,000"
287 Dorchester St APT 1A, Boston, MA,2127," 1 bed / 2 baths / 1,770 sqft ","1,000/mo"
42 Vinton St # 3, Boston, MA,2127," 2 beds / 2 baths / 1,382 sqft ","869,000"
15 Telegraph St, Boston, MA,2127," 2 beds / 2 baths / 1,651 sqft ","$594,000 "
125 B St UNIT 2D, South Boston, MA,2127," 1 bed / 1 bath / 1,033 sqft ","3,450/mo"
137 P St UNIT 2, South Boston, MA,2127," 4 beds / 1 bath / 1,308 sqft ","2,800/mo"
199 W 8th St, South Boston, MA,2127," 1 bed / 1 bath / 1,060 sqft ",599m000
123 Dresser St # 123, Boston, MA,2127," 6 beds / 4 baths / 2,800 sqft ","$929,000 "
123 Dresser St, Boston, MA,2127," 3 beds / 1 bath / 1,000 sqft ","$929,000 "
407 W 1st St # 401, Boston, MA,2127," 4 beds / 2 baths / 2,661 sqft ","$1,600,000 "
681-681R E 5th St # 2, Boston, MA,2127," 3 beds / 1 bath / 1,394 sqft ","$599,000 "
49 L St # 2, Boston, MA,2127," 6 beds / 3 baths / 2,820 sqft ","$649,900 "
1-3 Springer St, Boston, MA,2127," 6 beds / 2 baths / 2,900 sqft ","$799,000 "
709-709A E Broad Way # 2, Boston, MA,2127," 9 beds / 3 baths / 3,492 sqft ","$479,000 "
21 Sanger St UNIT 3, South Boston, MA,2127," 6 beds / 3 baths / 3,789 sqft ","695,000"
697 E 8th St, Boston, MA,2127," 8 beds / 3 baths / 3,345 sqft ","$989,000 "
697 E 8th St UNIT 2, South Boston, MA,2127," 2 beds / 1 bath / 3,960 sqft ","$541,000 "
111 W 8th St APT M, South Boston, MA,2127," 9 beds / 3 baths / 4,601 sqft ","450,000"
4 Webb Park # U2, South Boston, MA,2127," 2 beds / 1 bath / 1,350 sqft ","374,000"
641-643 E 7th UNIT 1, South Boston, MA,2127," 3 beds / 1 bath / 1,200 sqft ","749,000"
1 Prescott St APT 201, Boston, MA,2128," 4 beds / 1 bath / 1,563 sqft ","619,000"
350 Bremen St # 104, Boston, MA,2128," 8 beds / 4 baths / 3,633 sqft ","529,000"
282 Maverick St # U:2, Boston, MA,2128," 2 beds / 2 baths / 1,465 sqft ","$900,000 "
